name,datetime,tempmax,tempmin,temp,feelslike,humidity,precip,windspeed,icon
Kolkata,7/25/2022,30,25,27.6,31.5,86.7,10.34,18.4,rain
Kolkata,7/26/2022,32.8,26.6,29.1,34.6,80.3,0.036,14.8,rain
Kolkata,7/27/2022,33.2,27,28.8,35,84.2,20.29,18.4,rain
Kolkata,7/28/2022,34.2,27.5,29.8,36.6,80.2,4.865,14.8,rain
Kolkata,7/29/2022,34,28,30.5,38.9,79.7,26.829,16.6,rain
Kolkata,7/30/2022,34.3,28.3,31.3,39,73.1,0,22.3,partly-cloudy-day
Kolkata,7/31/2022,33.2,27,30,38.1,81.9,2.095,18.4,rain
Kolkata,8/1/2022,33.3,28.6,30.3,38.1,79.4,0,22.3,partly-cloudy-day
Kolkata,8/2/2022,33.6,26,29.2,36.2,85,15.096,18.4,rain
Kolkata,8/3/2022,31,27,29.1,36.1,85.2,1.385,9.4,rain
Kolkata,8/4/2022,33,26.9,29.6,36.4,80.9,0.012,13,rain
Kolkata,8/5/2022,34,27,29.9,37.4,80.9,0,20.5,partly-cloudy-day
Kolkata,8/6/2022,30.1,28,28.9,35.6,84.9,7.721,18.4,rain
Kolkata,8/7/2022,32.9,26,29.3,35.5,81.8,5.481,16.6,rain
Kolkata,8/8/2022,31,27,28.7,34.5,83.1,9.012,18.4,rain
Kolkata,8/9/2022,30,26.7,28,32.7,84.8,12.521,22.3,rain
Kolkata,8/10/2022,30.6,26,27.4,31.1,87.8,8.957,18.4,rain
Kolkata,8/11/2022,30,26,27.2,30.4,89,19.221,18.4,rain
Kolkata,8/12/2022,33,26.3,29.3,35.4,81.2,4.054,11.2,rain
Kolkata,8/13/2022,33.1,27.1,29.4,35.9,80.9,0.812,25.9,rain
Kolkata,8/14/2022,28.5,25.9,27.3,31,88,35.455,27.7,rain
Kolkata,8/15/2022,30,26,28.1,33.3,86.2,8.439,22.3,rain
Kolkata,8/16/2022,34.1,27,30.6,37.4,75,0.002,14.8,rain
Kolkata,8/17/2022,35.1,28.8,31.7,40.3,73.3,0,14.8,partly-cloudy-day
Kolkata,8/18/2022,35,27.4,31.4,40.8,76.4,3.956,27.7,rain
Kolkata,8/19/2022,31,26,27.6,31.8,86.9,24.163,29.5,rain
Kolkata,8/20/2022,30,26.5,27.6,31.9,86.5,25.694,24.1,rain
Kolkata,8/21/2022,33,27.4,29.7,36.9,82.2,0.169,18.4,rain
Kolkata,8/22/2022,33.7,28,29.8,36.7,79.7,34.179,13,rain
Kolkata,8/23/2022,30.7,25,28.5,34.3,86,9.362,14.8,rain
Kolkata,8/24/2022,30,27,27.7,32.3,86.7,7.099,18.4,rain
Kolkata,8/25/2022,33,26.8,29.4,35.1,77.6,0.278,20.5,rain
Kolkata,8/26/2022,34.2,27.1,30.3,37,75.6,0,16.6,partly-cloudy-day
Kolkata,8/27/2022,33.8,28,30,37.9,81.1,39.944,18.4,rain
Kolkata,8/28/2022,32,27,29.5,36,80.3,5.24,22.3,rain
Kolkata,8/29/2022,34,28,30.9,38.2,74.6,0,29.5,partly-cloudy-day
Kolkata,8/30/2022,34.7,28,30.7,38,74.9,0.089,16.6,rain
Kolkata,8/31/2022,34.6,28.7,31.3,39.1,74,0.001,18.4,rain
Kolkata,9/1/2022,34.7,29,31.1,38.9,73.7,0.018,18.4,rain
Kolkata,9/2/2022,34.4,28.8,31.5,39.4,72.1,0,20.5,partly-cloudy-day
Kolkata,9/3/2022,34,25.7,30.3,37.1,75.4,5.877,25,rain
Kolkata,9/4/2022,34.6,28,29.9,36.7,78.8,8.678,22.3,rain
Kolkata,9/5/2022,34,26,29.9,37.2,80.8,6.906,27.7,rain
Kolkata,9/6/2022,32,26.3,29,35.1,82.7,13.157,11.2,rain
Kolkata,9/7/2022,34.2,27.8,31,38.9,76,0,13,partly-cloudy-day
Kolkata,9/8/2022,34.4,28.4,31.1,38.5,73.5,5.676,16.6,rain
Kolkata,9/9/2022,34.2,27,30,37,78.4,0.225,22.3,rain
Kolkata,9/10/2022,33,27.7,29,34.9,81.9,4.318,24.1,rain
